Brand Name,Item Name,Calories needed to have 50g of added sugar
Merchant's Craft,Doc Merchant Soft Drink,212
Merchant's Craft,Strawberry Soft Drink,214
Merchant's Craft,"Soft Drink, Fizzle Berry",209
Merchant's Craft,Orange Swirl Soft Drink,206
Merchant's Craft,Caffein Free Washington Apple Soft Drink,219
Minute Maid,Lemonade,185
Minute Maid,Fruit Punch,200
Minute Maid,"Fruit Juice, Cranberry Grape",244
Minute Maid,"Juice, Strawberry Lemonade",194
Minute Maid,"Flavored Juice Beverage, Cranberry Apple Raspberry",237
Minute Maid,Peach Punch,200
Minute Maid,"Juice, Mango Punch",190
Minute Maid,Berry Punch,200
Minute Maid,"Fruit Drink, Blue Raspberry",200
Minute Maid,"Pasteurized Juice Blend, Tropical Punch",200
Minute Maid,"Lemonade, Frozen Concentrated",204
Minute Maid,Pineapple Burst Juice,204
Minute Maid,"Fruit Drink, Strawberry Kiwi",211
Mirinda,"Soft Drink, Orange Flavored",200
Mirinda,"Soft Drink, Carbonated, Orange Flavor",206
Monster,Mango Loco Juice,272
Monster,"Java Coffee + Energy Drink, Mean Bean",458
Monster,Java Coffee + Energy Drink,458
Monster,"Energy Juice, Pipeline Punch",250
Monster,"Energy Coffee, Triple Shot, Loca Mocha",478
Monster,Mega Energy Drink,207
Monster,"Java Coffee + Energy, Irish Blend",475
Monster,Rio Punch Flavor Energy plus Juice Drink,212
Monster,"Energy Coffee, Triple Shot, Mean Bean",478
Monster,Khaotic Energy Juice,250
Monster,Pipeline Punch Energy Juice,250
Mountain Dew,Code Red Cherry Soda,132
Mountain Dew,Dragon Fruit Soda,193
Mountain Dew,Carbonated Water,185
Mountain Dew,Voltage,185
Mountain Dew,LiveWire Soda,188
Mountain Dew,"Soda, Purple Thunder",182
Mountain Dew,Dragon Fruit Flavored Soda,192
Mountain Dew,Soda,185
Mountain Dew,Mountain Dew,185
Mountain Dew,Purple Thunder Soda,185
Mountain Dew,"Soda, Baja Laguna Lemonade",193
Mountain Dew,MAJOR MELON DEW with Watermelon Flavor,182
Mountain Dew,Purple Thunder Dew with A Blast of Berry Plum,185
Mountain Dew,Lemon Lime Soda,185
Moxie,Soda,189
Moxie,Original Elixir,203
Mug,Root Beer,186
Mug,"Root Beer, No Caffeine",183
Mug,Root Beer Soda,186
Mug,Cream Soda,191
Naked,Vanilla Protein Vanilla Flavored Almondmilk Smoothie,402
Naked,"Smoothie, Orange Vanilla Creme",650
Naked,"Almondmilk Smoothie, Protein, Chocolate",446
Nature's Twist,Caffeine-Free Original Orangeade,205
Nature's Twist,"Lemonade, Original",204
Nature's Twist,Pink Lemonade,204
New creation soda works,"Soda, Strawberry Habanero",214
Northern Soda Company,"Craft Soda, Cream Soda",185
Northern Soda Company,"Craft Soda, Black Cherry",185
Northern Soda Company,"Craft Soda, Orange",190
Northern Soda Company,"Craft Soda, Root Beer",185
Northern Soda Company,"Craft Soda, Sunday Purple",190
Orangina,"Citrus Beverage, Sparkling",238
Orangina,Rouge Sparkling Blood Orange Beverage,241
Peace Tea,"Tea, Just Peachy",191
Peace Tea,Razzleberry Sweet Iced Tea,196
Peace Tea,"Tea, Lemon-Flavored",196
Peace Tea,Just Peachy Tea,200
Peace Tea,Lemon-Flavored Tea Caddy Shack,190
Peace Tea,Razzleberry Tea,190
Peace Tea,Sno-berry Tea,189
Peace Tea,"Tea, Str-Ah-Berry Lemon",196
Peace Tea,"Tea, Razzleberry",200
Peace Tea,"Tea, Lemon Flavored, Caddy Shack",190
Peace Tea,"Tea, Cherry Vibes",185
Peace Tea,Raspberry Tea,200
Peace Tea,Tea And Lemonade,229
Pepsi,Soda,183
Pepsi,Throwback Cola,188
Pepsi,Wild Cherry Cola,186
Pepsi,Cola,183
Pepsi,Wild Cherry & Cream Soda,183
Pepsi,Wild Cherry Soda,190
Pepsi,"Cola, Wild Cherry & Cream",188
Pepsi,"Cola, Wild Cherry",190
Pepsi,"Carbonated Drink, Wild Cherry",190
Pepsi,Wild Cherry Soda Drink,190
Pepsi,Black Cherry Cola,192
Pepsi,Mango,183
