Pesticide Type,EPA Reg. #,EPA Prod Name,Volume in Gallons,Weight in Pounds,Total Applications,Active Ingredient Data,tox_cd,EPA Carcinogen,Prop65 Developmental Toxin,IARC Carcinogen
Rodenticide,DHS,7173-308,Chlorophacinone Soft Bait,0,5.75,20,Chlorophacinone,3,NO,NO,NO
Rodenticide,DHS,12455-69,CONTRAC RODENTICIDE,0,0.56,2,Bromadiolone,3,NO,NO,NO
Insecticide,DHS,100-1484,DUPONT ADVION COCKROACH GEL BAIT,0,25.94,613,Indoxacarb,3,NO,NO,NO
Insecticide,DHS,101563-4,SUSPEND SC INSECTICIDE,1.7,0,228,Deltamethrin,3,NO,NO,NO
Insecticide,DHS,64405-2,REDZONE BAIT,0,8.96,45,Boric acid,3,NO,NO,NO
Insecticide,DHS,100-1498,DUPONT ADVION ANT GEL,0,1.36,40,Indoxacarb,3,NO,NO,NO
Insecticide,DHS,89459-59,ENVI ACU CONTACT Insecticide,1.94,0,36,Phenylethyl propionate,3,NO,NO,NO
Insecticide,DHS,2724-351,ZOECON RF-259 EMULSIFIABLE CONCENTRATE,0.08,0,30,(7S)-Hydroprene,3,NO,NO,NO
Insecticide,DHS,101563-165,TEMPRID SC-F INSECTICIDE,0.2,0,26,"Cyfluthrin, beta; Imidacloprid",3,NO,NO,NO
Insecticide,DHS,1021-2796,MGK Formula 3113,0,0.01,4,Clothianidin; Pyriproxyfen,0,NO,NO,NO
Insecticide,DHS,101563-119,BES 0026 FLY SPOT BAIT,0,0.13,1,Imidacloprid; (Z)-9-Tricosene,3,NO,NO,NO
Insecticide,DOB,100-1484,DUPONT ADVION COCKROACH GEL BAIT,0,0.24,5,Indoxacarb,3,NO,NO,NO
Insecticide,DOB,89459-59,ENVI ACU CONTACT Insecticide,0.17,0,2,Phenylethyl propionate,3,NO,NO,NO
Insecticide,DOB,101563-165,TEMPRID SC-F INSECTICIDE,0.02,0,2,"Cyfluthrin, beta; Imidacloprid",3,NO,NO,NO
Rodenticide,DOC,7173-258,DIFETHIALONE PASTE PLACE PACKS,0,141.46,48,Difethialone,3,NO,NO,NO
Rodenticide,DOC,12455-79,CONTRAC ALL-WEATHER BLOX,1.06,2.62,32,Bromadiolone,3,NO,NO,NO
Rodenticide,DOC,7173-172,ROZOL BLUE TRACKING POWDER,0.13,0,1,Chlorophacinone,2,NO,NO,NO
Insecticide,DOC,101563-86,TEMPO SC INSECTICIDE,0.18,0,57,"Cyfluthrin, beta",3,NO,NO,NO
Insecticide,DOC,1021-2593,VENDETTA PLUS COCKROACH GEL BAIT,0.63,3.07,46,Avermectin; Pyriproxyfen,3,NO,YES,NO
Insecticide,DOC,100-1498,DUPONT ADVION ANT GEL,0,1.66,37,Indoxacarb,3,NO,NO,NO
Insecticide,DOC,101563-119,BES 0026 FLY SPOT BAIT,1.09,0.32,33,Imidacloprid; (Z)-9-Tricosene,3,NO,NO,NO
Insecticide,DOC,499-507,PRESCRIPTION TREATMENT BRAND ALPINE COCKROACH GEL BAIT RESERVOIR,0,1.6,26,Dinotefuran,3,NO,NO,NO
Insecticide,DOC,101563-49,PRODUCT: RBF5,0.23,0.2,12,Fipronil,3,YES,NO,NO
Insecticide,DOC,64405-2-74455,ECOLOGICAL ANT & INSECT BAIT,0.03,3.31,12,Boric acid,3,NO,NO,NO
Insecticide,DOC,73079-2,INTICE GRANULAR BAIT,0,0.29,12,Boric acid,3,NO,NO,NO
Insecticide,DOC,397-13,STERI-FAB,4.65,0,9,"Phenothrin; Isopropyl alcohol; Alkyl (60%C14, 25%C12, 15%C16) dimethylbenzyl ammonium chloride; Didecyl dimethyl ammonium chloride",2,NO,NO,NO
Insecticide,DOC,1021-2796,MGK Formula 3113,0,0.26,6,Clothianidin; Pyriproxyfen,0,NO,NO,NO
Insecticide,DOC,101563-165,TEMPRID SC-F INSECTICIDE,0.01,0,4,"Cyfluthrin, beta; Imidacloprid",3,NO,NO,NO
Insecticide,DOC,73079-6,GREEN ZONE GRANULAR BAIT,0,0.21,2,Boric acid,3,NO,NO,NO
Insecticide,DOC,9688-255-8845,SPECTRACIDE COMMERCIAL WASP & HORNET KILLER 3,0.13,0,1,Deltamethrin; S-Bioallethrin,3,YES,NO,NO
Rodenticide,DOE,7173-258,DIFETHIALONE PASTE PLACE PACKS,0,6204.89,12220,Difethialone,3,NO,NO,NO
Rodenticide,DOE,7173-304,BROMETHALIN SOFT BAIT,0,78.33,486,Bromethalin,3,NO,NO,NO
Rodenticide,DOE,82744-2-56,JT EATON NECTUS SOFT BAIT 2G SECOND GENERATION RODENTICIDE,0,283.75,424,Bromadiolone,3,NO,NO,NO
Rodenticide,DOE,12455-69,CONTRAC RODENTICIDE,0,609.02,325,Bromadiolone,3,NO,NO,NO
Rodenticide,DOE,12455-36,CONTRAC RAT AND MOUSE BAIT,0,245,209,Bromadiolone,3,NO,NO,NO
Rodenticide,DOE,12455-146,CONTRAC SOFT BAIT,0,145.87,197,Bromadiolone,3,NO,NO,NO
Rodenticide,DOE,7173-297,BROMADIOLONE PASTE 0901,0,4.3,71,Bromadiolone,3,NO,NO,NO
