Pesticide Type	EPA Reg. #	EPA Prod Name	Volume in Gallons	Weight in Pounds	Total Applications	Active Ingredient Data	tox_cd	EPA Carcinogen	Prop65 Developmental Toxin	IARC Carcinogen
INSECTICIDE,9688-190,CHEMSICO WASP & HORNET KILLER LE,0.72,0,3,"Cyhalothrin, lambda; Prallethrin",3,NO,NO,NO
Insecticide,71711-4-67690,SEPRO AKARI 5SC MITICIDE/INSECTICIDE,0.55,0,3,Fenpryroximate,2,NO,NO,NO
Insecticide,62719-291,CONSERVE SC TURF AND ORNAMENTAL,0.11,0,3,Spinosad,3,NO,NO,NO
Insecticide,48813-1-68539,SUFFOIL-X,0.09,1,3,Petroleum distillates,3,NO,NO,NO
Insecticide,100-1543,MAINSPRING GH & N,0.02,0,3,"Cyantraniliprole ",0,NO,NO,NO
Insecticide,53883-335,N + P Regulator,0.01,0,3,Pyriproxyfen; Novaluron,3,NO,NO,NO
Insecticide,499-557,Alpine WSG,0,4.1,3,Novaluron,3,NO,NO,NO
Insecticide,85306-1,SELECT TCS,0,0.9,3,Fipronil,3,YES,NO,NO
Insecticide,432-1227-10404,LESCO SEVIN SL,11.19,0,2,Carbaryl,3,YES,YES,NO
Insecticide,5481-643,DYLOX 420 SL TURF AND ORNAMENTAL INSECTICIDE,3.4,0,2,Trichlorfon,3,YES,NO,NO
Insecticide,10163-324,M-PEDE INSECTICIDE/FUNGICIDE,2,0.47,2,Potassium laurate,2,NO,NO,NO
Insecticide,100-1487,PROVAUNT,1.13,0,2,Indoxacarb,3,NO,NO,NO
Insecticide,59639-96,DISTANCE INSECT GROWTH REGULATOR,0.12,0,2,Pyriproxyfen,3,NO,NO,NO
Insecticide,70506-121,UPI-2005 EXP-06 RUP INSECTICIDE,0.06,0,2,"Cyhalothrin, lambda",2,NO,NO,NO
Insecticide,149-8,TERRO ANT KILLER II,0.02,0,2,Borax,3,NO,NO,NO
Insecticide,70506-537,FLORAMITE SC,0.01,0,2,Bifenazate,3,NO,NO,NO
Insecticide,5481-641,DYLOX 6.2 GRANULAR INSECTICIDE,0,1380,2,Trichlorfon,3,YES,NO,NO
INSECTICIDE,5481-641-432,Dylox 6.2 Granular Insecticide,0,960,2,Trichlorfon,3,YES,NO,NO
Insecticide,100-1500,ACELEPRYN G,0,262.5,2,Chlorantraniliprole,0,NO,NO,NO
Insecticide,82074-2,BOTANIGARD 22WP,0,2.4,2,Beauveria bassiana GHA,3,NO,NO,NO
INSECTICIDE,6218-86,MOSQUITO BITS,0,1.51,2,"Bacillus thuringiensis subsp. israelensis, Strain SUM-6218",3,NO,NO,NO
INSECTICIDE,71910-10,Zecken Rollen Tick Tubes,0,0.49,2,Permethrin,3,YES,NO,NO
Insecticide,2724-786,RF2050 SPRAY,0,0.25,2,Tetramethrin; Ethofenprox; Piperonyl butoxide,3,YES,NO,NO
