NTACODE,BORO,BoroCode,NTA_NAME,TotalPM,PM_tertiles,TotalNOx,NOx_tertiles,cook_tertiles,Building_emissions,Industrial_tertiles,Traffic_tertiles
QN0871,Queens,4,Mount Hebron & Cedar Grove Cemeteries,0.047624756,Low,0.958721147,Low,Low,Low,Low,Low
QN0891,Queens,4,Cunningham Park,4.60545654,High,92.18158828,High,Low,Low,Low,High
QN0901,Queens,4,Kew Gardens,2.948386026,Medium,58.77210046,Medium,Medium,Medium,Medium,High
QN0902,Queens,4,Richmond Hill,2.762939159,Medium,54.66276768,Medium,High,Medium,High,Medium
QN0903,Queens,4,South Richmond Hill,0.79494077,Low,15.79182133,Low,Medium,Low,Medium,Low
QN0904,Queens,4,Ozone Park (North),1.44036477,Low,28.63643065,Low,Low,Low,High,Medium
QN0905,Queens,4,Woodhaven,1.640423893,Low,32.66005559,Low,Medium,Low,Medium,Low
QN1001,Queens,4,South Ozone Park,7.510696695,High,151.136965,High,High,Medium,High,Medium
QN1002,Queens,4,Ozone Park,2.022610881,Medium,40.41925579,Medium,Medium,Low,High,Medium
QN1003,Queens,4,Howard Beach-Lindenwood,5.158122222,High,103.4256547,High,Medium,Medium,Low,Medium
QN1091,Queens,4,Spring Creek Park,0.460921277,Low,9.314817623,Low,Low,Low,Low,Low
QN1101,Queens,4,Auburndale,6.237923185,High,124.3203097,High,Medium,Medium,Medium,Medium
QN1102,Queens,4,Bayside,9.470925225,High,189.1070665,High,High,Medium,Medium,Medium
QN1103,Queens,4,Douglaston-Little Neck,7.80547153,High,157.7489204,High,Medium,Medium,Medium,Medium
QN1104,Queens,4,Oakland Gardens-Hollis Hills,3.910480962,High,77.81652516,High,High,Medium,Low,Medium
QN1191,Queens,4,Alley Pond Park,4.191343961,High,84.87374948,High,Low,Low,Low,High
QN1201,Queens,4,Jamaica,6.446385451,High,125.0186316,High,High,High,High,Medium
QN1202,Queens,4,South Jamaica,2.604720804,Medium,51.25667557,Medium,Medium,Medium,High,Low
QN1203,Queens,4,Baisley Park,3.00280722,Medium,59.73797057,Medium,Medium,Low,Medium,Low
QN1204,Queens,4,Springfield Gardens (North)-Rochdale Village,1.632431029,Low,32.26379449,Low,Low,High,High,Low
QN1205,Queens,4,St. Albans,3.089802345,Medium,60.904201,Medium,Medium,Medium,High,Low
QN1206,Queens,4,Hollis,1.840905538,Medium,35.90690105,Medium,Medium,Low,Medium,Low
QN1301,Queens,4,Glen Oaks-Floral Park-New Hyde Park,1.719611334,Low,34.56248694,Medium,Medium,Medium,Low,Low
QN1302,Queens,4,Bellerose,4.656626464,High,94.06646442,High,Medium,Medium,Medium,Medium
QN1303,Queens,4,Queens Village,7.462377929,High,149.0963702,High,Medium,Medium,High,Medium
QN1304,Queens,4,Cambria Heights,2.869423873,Medium,58.02161585,Medium,Low,Low,Low,Medium
QN1305,Queens,4,Laurelton,1.20241076,Low,23.8002318,Low,Medium,Low,High,Low
QN1306,Queens,4,Springfield Gardens (South)-Brookville,9.662815744,High,195.6618222,High,Medium,Low,High,High
QN1307,Queens,4,Rosedale,5.023833044,High,101.66408,High,Low,Low,High,High
QN1371,Queens,4,Montefiore Cemetery,0.003582889,Low,0.071733975,Low,Low,Low,Low,Low
QN1401,Queens,4,Far Rockaway-Bayswater,1.642875457,Low,32.79369022,Low,Medium,High,Medium,Low
QN1402,Queens,4,Rockaway Beach-Arverne-Edgemere,1.564585572,Low,31.01582658,Low,Medium,Medium,High,Low
QN1403,Queens,4,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,1.847556912,Medium,36.31484325,Medium,Medium,Medium,Low,Low
QN1491,Queens,4,Rockaway Community Park,0,Low,0,Low,Low,Low,Low,Low
QN8081,Queens,4,LaGuardia Airport,1.180657638,Low,23.32070455,Low,Low,Low,Low,Low
QN8191,Queens,4,Flushing Meadows-Corona Park,15.16051419,High,305.5994996,High,Medium,Low,Low,High
QN8291,Queens,4,Forest Park,2.701478649,Medium,54.79998154,Medium,Low,Low,Low,High
QN8381,Queens,4,John F. Kennedy International Airport,2.82903434,Medium,55.1053198,Medium,Low,Low,Low,Low
QN8491,Queens,4,Jamaica Bay (East),1.102740761,Low,21.71520084,Low,Low,Low,Low,Low
QN8492,Queens,4,Jacob Riis Park-Fort Tilden-Breezy Point Tip,0.475349972,Low,9.415608342,Low,Low,Medium,Low,Low
SI0101,Staten Island,5,St. George-New Brighton,0.72090598,Low,13.55630958,Low,Medium,Medium,Medium,Low
SI0102,Staten Island,5,Tompkinsville-Stapleton-Clifton-Fox Hills,0.680141931,Low,13.48375185,Low,Medium,Low,High,Low
SI0103,Staten Island,5,Rosebank-Shore Acres-Park Hill,4.077584417,High,89.09147197,High,Medium,Low,High,Medium
SI0104,Staten Island,5,West New Brighton-Silver Lake-Grymes Hill,3.121316519,Medium,65.83590195,Medium,High,Medium,High,Low
SI0105,Staten Island,5,Westerleigh-Castleton Corners,5.863778492,High,127.3570939,High,Medium,Medium,Low,Medium
SI0106,Staten Island,5,Port Richmond,2.051477255,Medium,42.78008362,Medium,High,Low,High,Low
SI0107,Staten Island,5,Mariner's Harbor-Arlington-Graniteville,5.043288483,High,108.3138019,High,Medium,Medium,High,Low
SI0191,Staten Island,5,Snug Harbor,0.05963592,Low,1.22951395,Low,Low,Low,Low,Low
SI0201,Staten Island,5,Grasmere-Arrochar-South Beach-Dongan Hills,4.531315964,High,97.37757866,High,High,Medium,Medium,Low
SI0202,Staten Island,5,New Dorp-Midland Beach,1.578831763,Low,33.79539175,Medium,High,Low,Medium,Low
SI0203,Staten Island,5,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,9.426468781,High,206.4365429,High,Medium,Medium,High,Low
SI0204,Staten Island,5,New Springville-Willowbrook-Bulls Head-Travis,12.11209614,High,262.1165987,High,High,High,High,Low
SI0291,Staten Island,5,Freshkills Park (North),1.314291702,Low,28.62784818,Low,Low,Low,Low,Low
SI0301,Staten Island,5,Oakwood-Richmondtown,1.287794147,Low,27.20378422,Low,Low,Low,Low,Low
SI0302,Staten Island,5,Great Kills-Eltingville,2.964131494,Medium,62.03066909,Medium,High,Medium,Medium,Low
SI0303,Staten Island,5,Arden Heights-Rossville,1.671228747,Low,35.73885505,Medium,Low,Low,Medium,Low
SI0304,Staten Island,5,Annadale-Huguenot-Prince's Bay-Woodrow,3.80655256,High,82.54962621,High,Medium,Medium,Medium,Low
SI0305,Staten Island,5,Tottenville-Charleston,2.513870624,Medium,53.97826005,Medium,High,Medium,High,Low
SI0391,Staten Island,5,Freshkills Park (South),1.776588309,Medium,38.80784401,Medium,Low,Low,Medium,Low
SI9561,Staten Island,5,Fort Wadsworth,2.363102162,Medium,48.76232807,Medium,Low,Low,Low,High
SI9591,Staten Island,5,Hoffman & Swinburne Islands,0,Low,0,Low,Low,Low,Low,Low
SI9592,Staten Island,5,Miller Field,0.070257555,Low,1.408341634,Low,Low,Low,Low,Low
SI9593,Staten Island,5,Great Kills Park,0.273400159,Low,5.609454301,Low,Low,Low,Low,Low
,,,,,,,,,,,
